sample_id,lat,lon,swir_band11,swir_band12,magnetic_susceptibility_nt,vein_depth_m,estimated_grade_mn,indicated_tonnes
SWIR-LOC-1301,21.824656,80.26387,0.401,0.461,81.5,218.7,37.66,1746408
SWIR-LOC-1302,21.832886,80.198652,0.502,0.229,21.3,86.4,36.79,1817109
SWIR-LOC-1303,21.895637,80.22655,0.456,0.825,41.4,71.4,37.53,1732373
SWIR-LOC-1304,21.769102,80.154723,0.708,0.646,56.5,296.1,39.55,1818621
SWIR-LOC-1305,21.929436,80.190627,0.361,0.633,96.2,319.9,35.3,1769308
SWIR-LOC-1306,21.82181,80.272896,0.427,0.629,33.9,109.3,37.5,1717331
SWIR-LOC-1307,21.698928,80.035082,0.641,0.762,77.5,269.4,42.57,1985359
SWIR-LOC-1308,21.77426,80.072088,0.634,0.761,68.1,155.0,43.21,2109523
SWIR-LOC-1309,21.801955,80.041118,0.288,0.302,111.3,238.9,39.81,1851158
SWIR-LOC-1310,21.831553,80.090186,0.822,0.557,94.6,109.3,45.94,2160700
SWIR-LOC-1311,21.706017,80.218322,0.758,0.579,90.7,74.1,45.93,2205982
SWIR-LOC-1312,21.782328,80.257113,0.712,0.198,112.6,83.1,45.24,2056830
SWIR-LOC-1313,21.931658,80.251447,0.549,0.775,64.8,108.0,41.12,2044403
SWIR-LOC-1314,21.768138,80.084118,0.362,0.589,90.8,225.0,36.37,1674677
SWIR-LOC-1315,21.733791,80.081696,0.697,0.827,107.8,157.2,45.08,2062575
SWIR-LOC-1316,21.848481,80.25935,0.676,0.3,49.0,102.8,42.16,1928984
SWIR-LOC-1317,21.720146,80.270903,0.865,0.188,103.8,114.4,47.32,2251975
SWIR-LOC-1318,21.922417,80.134256,0.811,0.248,88.8,112.1,45.35,2197386
SWIR-LOC-1319,21.873834,80.2798,0.687,0.589,73.8,106.6,42.98,2034579
SWIR-LOC-1320,21.912565,80.178023,0.88,0.343,86.8,295.2,44.08,2064011
SWIR-LOC-1321,21.865657,80.098128,0.637,0.834,69.2,63.3,43.85,2074935
SWIR-LOC-1322,21.73491,80.254118,0.419,0.834,78.1,105.8,40.73,1877281
SWIR-LOC-1323,21.945713,80.279214,0.865,0.339,70.7,44.8,47.15,2244335
SWIR-LOC-1324,21.698002,80.174681,0.753,0.5,82.4,291.4,43.66,1998556
SWIR-LOC-1325,21.858155,80.040192,0.332,0.203,75.8,52.9,37.98,1844376
SWIR-LOC-1326,21.931443,80.173185,0.725,0.692,99.6,130.1,43.52,1975813
SWIR-LOC-1327,21.798842,80.080387,0.507,0.772,84.9,80.0,42.17,1922042
SWIR-LOC-1328,21.661804,80.315084,0.875,0.212,45.2,304.0,44.75,2110941
SWIR-LOC-1329,21.777899,80.090995,0.211,0.71,48.3,69.5,36.23,1783841
SWIR-LOC-1330,21.812189,80.167865,0.72,0.491,125.9,151.1,45.62,2219373
SWIR-LOC-1331,21.773308,80.070503,0.764,0.686,104.9,87.1,48.48,2196841
SWIR-LOC-1332,21.679778,80.268223,0.672,0.538,48.4,201.5,40.31,1840389
SWIR-LOC-1333,21.740508,80.074868,0.34,0.429,0.2,82.6,36.3,1748982
SWIR-LOC-1334,21.823186,80.044829,0.75,0.771,-39.3,281.3,37.3,1714025
SWIR-LOC-1335,21.755195,80.244975,0.789,0.355,69.3,104.0,44.0,2147756
SWIR-LOC-1336,21.805531,80.085203,0.454,0.388,37.3,86.7,37.79,1862541
SWIR-LOC-1337,21.710196,80.074449,0.374,0.46,37.8,246.2,34.15,1697586
SWIR-LOC-1338,21.696662,80.297736,0.384,0.64,49.7,280.1,35.26,1655578
SWIR-LOC-1339,21.742301,80.150507,0.568,0.531,96.8,129.8,43.4,2047142
SWIR-LOC-1340,21.947767,80.06728,0.794,0.467,83.5,190.1,44.56,2137806
SWIR-LOC-1341,21.661846,80.141165,0.5,0.749,87.7,267.8,40.83,1890381
SWIR-LOC-1342,21.675657,80.224769,0.588,0.326,76.0,261.9,40.07,1854580
SWIR-LOC-1343,21.942679,80.232566,0.223,0.22,63.2,146.9,38.22,1919406
SWIR-LOC-1344,21.757808,80.127104,0.677,0.743,20.7,288.6,39.08,1803152
SWIR-LOC-1345,21.668693,80.173454,0.454,0.465,22.0,224.3,36.42,1799643
SWIR-LOC-1346,21.807042,80.139228,0.733,0.308,69.8,186.8,43.75,2040333
SWIR-LOC-1347,21.655698,80.088599,0.873,0.808,51.5,75.5,43.87,1991975
SWIR-LOC-1348,21.930865,80.221425,0.761,0.826,28.7,209.7,41.65,2073869
SWIR-LOC-1349,21.740312,80.26697,0.474,0.553,88.3,231.5,38.36,1874088
SWIR-LOC-1350,21.768127,80.064559,0.58,0.589,33.6,85.2,41.29,2029986
SWIR-LOC-1351,21.772996,80.146912,0.694,0.67,63.2,313.0,40.31,1857157
SWIR-LOC-1352,21.689991,80.249675,0.588,0.207,66.8,294.8,39.65,1929021
SWIR-LOC-1353,21.889001,80.215321,0.642,0.561,77.9,188.0,42.5,2030077
SWIR-LOC-1354,21.727477,80.093599,0.33,0.255,51.8,275.5,34.27,1683945
SWIR-LOC-1355,21.852691,80.08054,0.517,0.722,81.5,50.4,43.59,2118909
SWIR-LOC-1356,21.874596,80.207597,0.805,0.695,79.4,230.8,45.34,2216858
SWIR-LOC-1357,21.753956,80.109087,0.698,0.604,74.8,169.2,43.3,2147028
SWIR-LOC-1358,21.939841,80.231446,0.51,0.513,8.7,206.5,39.37,1926435
SWIR-LOC-1359,21.902648,80.32998,0.232,0.74,5.0,236.9,32.72,1646270
SWIR-LOC-1360,21.850473,80.216224,0.641,0.464,62.5,235.1,40.75,1907648
SWIR-LOC-1361,21.936279,80.187224,0.221,0.554,66.0,118.4,36.64,1844741
SWIR-LOC-1362,21.677282,80.075428,0.79,0.59,99.7,254.1,43.88,2168205
SWIR-LOC-1363,21.763985,80.037186,0.577,0.251,131.4,167.6,44.95,2193708
SWIR-LOC-1364,21.905296,80.26361,0.328,0.76,84.9,53.0,40.98,2024885
SWIR-LOC-1365,21.867735,80.072628,0.551,0.296,64.8,45.0,41.37,1959531
SWIR-LOC-1366,21.659357,80.090225,0.444,0.311,10.2,216.1,35.5,1739186
SWIR-LOC-1367,21.834881,80.221637,0.509,0.203,-8.5,270.9,35.56,1796992
SWIR-LOC-1368,21.719724,80.099122,0.749,0.589,139.0,199.1,45.94,2202303
SWIR-LOC-1369,21.715082,80.212792,0.4,0.343,78.6,232.7,36.6,1823181
SWIR-LOC-1370,21.90234,80.098154,0.722,0.754,121.2,126.9,46.68,2152401
SWIR-LOC-1371,21.726472,80.207003,0.394,0.567,42.7,130.5,39.21,1923097
SWIR-LOC-1372,21.930836,80.041576,0.407,0.831,85.6,280.9,36.57,1768186
SWIR-LOC-1373,21.71243,80.255567,0.22,0.293,25.9,190.0,34.3,1594568
SWIR-LOC-1374,21.939108,80.32814,0.34,0.47,69.6,149.4,39.28,1804298
SWIR-LOC-1375,21.697557,80.265902,0.766,0.269,65.9,200.4,43.2,2032271
SWIR-LOC-1376,21.7908,80.1416,0.224,0.246,53.1,224.4,31.09,1574240
SWIR-LOC-1377,21.652253,80.092071,0.325,0.591,81.4,102.7,36.83,1711235
SWIR-LOC-1378,21.782054,80.146872,0.313,0.656,100.7,103.5,38.69,1823746
SWIR-LOC-1379,21.75801,80.045399,0.552,0.764,64.4,215.1,39.68,1926596
SWIR-LOC-1380,21.920639,80.210609,0.307,0.402,61.2,44.7,36.72,1764114
SWIR-LOC-1381,21.72668,80.071993,0.448,0.32,61.9,127.6,41.38,1911565
SWIR-LOC-1382,21.864972,80.243496,0.503,0.19,-1.7,81.2,36.05,1745475
SWIR-LOC-1383,21.710038,80.156988,0.795,0.475,-43.5,307.8,36.52,1682797
SWIR-LOC-1384,21.777366,80.14406,0.338,0.246,43.6,145.1,36.99,1840311
SWIR-LOC-1385,21.697278,80.301542,0.76,0.718,46.1,145.1,42.87,2106517
SWIR-LOC-1386,21.667669,80.243222,0.349,0.183,22.9,105.0,35.77,1769323
SWIR-LOC-1387,21.851287,80.110047,0.878,0.816,58.1,50.7,47.85,2287843
SWIR-LOC-1388,21.894234,80.053226,0.838,0.361,84.8,135.8,46.33,2149904
SWIR-LOC-1389,21.874375,80.125229,0.278,0.68,48.4,250.5,35.31,1783416
SWIR-LOC-1390,21.945125,80.101062,0.284,0.554,32.8,206.3,34.14,1690055
SWIR-LOC-1391,21.831822,80.078829,0.785,0.547,122.4,175.2,44.0,2077372
SWIR-LOC-1392,21.788909,80.250404,0.378,0.378,83.0,186.2,37.85,1771481
SWIR-LOC-1393,21.736126,80.236124,0.688,0.482,92.0,163.1,43.86,2140518
SWIR-LOC-1394,21.832246,80.266652,0.263,0.738,17.7,287.3,36.3,1780003
SWIR-LOC-1395,21.704335,80.064489,0.697,0.522,86.6,223.1,43.48,2085685
SWIR-LOC-1396,21.674901,80.057953,0.226,0.288,41.5,264.5,32.53,1641579
SWIR-LOC-1397,21.923193,80.320673,0.226,0.705,112.6,289.7,36.52,1842213
SWIR-LOC-1398,21.839326,80.299342,0.461,0.422,71.5,56.7,41.38,2023202
SWIR-LOC-1399,21.663237,80.090474,0.393,0.489,88.5,258.3,36.78,1724896
